name,type,start_time,duration,mosi,miso
SPI,enable,0.782616,0.000000042,,
SPI,result,0.78262025,0.00003,0xA9,0xFF
SPI,result,0.782655958,0.00003,0xFF,0x00
SPI,disable,0.782688167,0.000000042,,
SPI,enable,0.782690042,0.000000042,,
SPI,result,0.782694333,0.00003,0xA8,0xFF
SPI,result,0.782730042,0.000029958,0xFF,0x3F
SPI,disable,0.78276225,0.000000042,,
SPI,enable,0.782764292,0.000000042,,
SPI,result,0.782768583,0.00003,0xAB,0xFF
SPI,result,0.782804292,0.00003,0xFF,0x01
SPI,disable,0.7828365,0.000000042,,
SPI,enable,0.782838375,0.000000042,,
SPI,result,0.782842667,0.00003,0xAA,0xFF
SPI,result,0.782878375,0.00003,0xFF,0x13
SPI,disable,0.782910583,0.000000042,,
SPI,enable,0.782912667,0.000000042,,
SPI,result,0.782916958,0.00003,0xAD,0xFF
SPI,result,0.782952625,0.000030042,0xFF,0x3E
SPI,disable,0.782984875,0.000000042,,
SPI,enable,0.78298675,0.000000042,,
SPI,result,0.782991042,0.00003,0xAC,0xFF
SPI,result,0.78302675,0.00003,0xFF,0x72
SPI,disable,0.783058958,0.000000042,,
SPI,enable,2.481193333,0.000000042,,
SPI,result,2.481197625,0.00003,0xA9,0xFF
SPI,result,2.481233333,0.00003,0xFF,0x00
SPI,disable,2.481265542,0.000000042,,
SPI,enable,2.481267417,0.000000042,,
SPI,result,2.481271708,0.00003,0xA8,0xFF
SPI,result,2.481307417,0.00003,0xFF,0x36
SPI,disable,2.481339667,0.000000042,,
SPI,enable,2.481341708,0.000000042,,
SPI,result,2.481346,0.00003,0xAB,0xFF
SPI,result,2.481381708,0.00003,0xFF,0x02
SPI,disable,2.481413958,0.000000042,,
SPI,enable,2.481415833,0.000000042,,
SPI,result,2.481420125,0.00003,0xAA,0xFF
SPI,result,2.481455833,0.00003,0xFF,0x04
SPI,disable,2.481488042,0.000000042,,
SPI,enable,2.481490125,0.000000042,,
SPI,result,2.481494417,0.00003,0xAD,0xFF
SPI,result,2.481530125,0.00003,0xFF,0x3E
SPI,disable,2.481562375,0.000000042,,
SPI,enable,2.48156425,0.000000042,,
SPI,result,2.481568542,0.00003,0xAC,0xFF
SPI,result,2.481604208,0.000030042,0xFF,0x97
SPI,disable,2.481636458,0.000000042,,
SPI,enable,4.179859792,0.000000042,,
SPI,result,4.179864042,0.00003,0xA9,0xFF
SPI,result,4.17989975,0.00003,0xFF,0x00
SPI,disable,4.179931958,0.000000042,,
SPI,enable,4.179933833,0.000000042,,
SPI,result,4.179938125,0.00003,0xA8,0xFF
SPI,result,4.179973833,0.00003,0xFF,0x19
SPI,disable,4.180006042,0.000000042,,
